               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.013475,           0.0074036,                   0,             0.98014,             0.98323,             0.99059,             0.75312,            0.019373,           0.0065421,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.013504,            0.007219,                   0,             0.98098,             0.98007,             0.98882,             0.74844,            0.019672,           0.0066551,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.013256,           0.0073825,                   0,             0.98133,             0.98007,             0.98714,             0.74512,            0.019593,           0.0067256,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.013382,           0.0071777,                   0,             0.97949,             0.98188,              0.9887,             0.74445,            0.019592,           0.0067633,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.013392,           0.0073552,                   0,              0.9819,             0.98286,             0.99077,             0.74504,            0.019836,           0.0067577,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.013081,           0.0071937,                   0,             0.98187,             0.98122,             0.99147,             0.74854,            0.019745,           0.0067225,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.013404,            0.007151,                   0,             0.98185,                0.98,             0.99156,             0.74728,            0.019872,           0.0067134,                   0,            0.002014,            0.002014,            0.002014
                 123,             0.01322,           0.0071269,                   0,             0.98542,             0.97932,             0.98928,             0.74739,             0.01986,           0.0066913,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.012938,            0.006963,                   0,             0.98526,             0.98188,             0.99191,             0.74777,            0.019877,           0.0066388,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.012902,           0.0069207,                   0,              0.9842,             0.97826,             0.99148,             0.75152,            0.019679,           0.0067292,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.012976,           0.0071799,                   0,             0.98027,             0.98007,             0.98902,             0.74851,            0.019749,           0.0067174,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.012955,           0.0071784,                   0,             0.98547,             0.98285,              0.9915,             0.74788,            0.019721,           0.0067489,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.012646,           0.0068892,                   0,             0.98314,              0.9837,             0.99182,             0.75369,            0.019401,           0.0066461,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.012873,           0.0068114,                   0,             0.98356,              0.9837,             0.99092,             0.74987,            0.019716,           0.0067372,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.012646,           0.0069652,                   0,             0.98365,             0.98093,             0.99151,             0.75273,            0.019594,           0.0067294,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.012909,           0.0070872,                   0,             0.98367,             0.98184,             0.99131,             0.75439,            0.019555,           0.0067418,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.012426,           0.0068954,                   0,             0.98464,             0.98188,             0.99101,              0.7504,            0.019633,           0.0068142,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.012439,           0.0068604,                   0,             0.98542,             0.97943,             0.99082,             0.74953,            0.019646,           0.0068926,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.012608,           0.0069814,                   0,             0.98545,             0.98165,              0.9906,             0.74877,            0.019814,           0.0069346,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.012539,            0.006691,                   0,             0.97925,             0.98188,             0.99074,             0.74563,            0.019808,            0.006873,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.012348,            0.006775,                   0,             0.98127,              0.9837,             0.99115,             0.75016,            0.019605,           0.0067892,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.012165,           0.0068784,                   0,             0.98352,              0.9837,             0.99128,             0.74918,            0.019681,           0.0068675,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.012157,           0.0068573,                   0,             0.98305,              0.9837,             0.99149,             0.75262,            0.019726,           0.0068404,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.012272,           0.0069162,                   0,             0.98276,              0.9837,             0.99134,             0.75237,            0.019626,           0.0068143,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.012333,           0.0066181,                   0,             0.98348,              0.9837,              0.9915,             0.75418,             0.01959,           0.0067901,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.012347,           0.0067711,                   0,             0.98187,              0.9837,             0.99149,             0.75363,            0.019682,           0.0067991,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.012052,           0.0065477,                   0,             0.98449,             0.98188,             0.99129,             0.75287,            0.019669,           0.0068427,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.012299,           0.0069249,                   0,              0.9851,              0.9837,             0.99123,             0.75272,            0.019651,           0.0068072,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.011785,            0.006697,                   0,             0.98547,               0.983,             0.99126,             0.75238,            0.019655,           0.0067983,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.012016,           0.0067538,                   0,              0.9846,             0.98188,              0.9913,             0.75154,            0.019724,            0.006853,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.011694,           0.0065225,                   0,             0.98367,             0.98193,             0.99139,             0.75277,            0.019683,           0.0068576,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.011987,           0.0065989,                   0,             0.98368,             0.98301,             0.99115,             0.75436,            0.019582,           0.0068582,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.011791,           0.0065582,                   0,             0.98447,              0.9837,             0.99106,             0.75338,            0.019649,           0.0068945,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.011904,           0.0066281,                   0,             0.98479,              0.9837,             0.99124,             0.75372,            0.019763,           0.0069132,                   0,            0.000232,            0.000232,            0.000232
